combo,phase,freshness,fresh_pct_of_clock
World Cup 2026/27,pre_24h_to_1h,1,1.6426901399727487
World Cup 2026/27,pre_24h_to_1h,2,4.3218289359593705
World Cup 2026/27,pre_24h_to_1h,3,7.122116158800941
World Cup 2026/27,pre_24h_to_1h,4,9.723035117056856
World Cup 2026/27,pre_24h_to_1h,5,12.285221571906357
World Cup 2026/27,pre_24h_to_1h,6,14.752129010281184
World Cup 2026/27,pre_24h_to_1h,7,17.00884119905859
World Cup 2026/27,pre_24h_to_1h,8,19.190643193360582
World Cup 2026/27,pre_24h_to_1h,9,21.28847315124489
World Cup 2026/27,pre_24h_to_1h,10,23.22343769354639
World Cup 2026/27,pre_24h_to_1h,11,25.09218614517528
World Cup 2026/27,pre_24h_to_1h,12,26.891877245138115
World Cup 2026/27,pre_24h_to_1h,13,28.568499938065155
World Cup 2026/27,pre_24h_to_1h,14,30.19275284900285
World Cup 2026/27,pre_24h_to_1h,15,31.75894184318097
World Cup 2026/27,pre_24h_to_1h,16,33.22852022172675
World Cup 2026/27,pre_24h_to_1h,17,34.651887464387464
World Cup 2026/27,pre_24h_to_1h,18,36.029264214046826
World Cup 2026/27,pre_24h_to_1h,19,37.32779016474669
World Cup 2026/27,pre_24h_to_1h,20,38.58812554192989
World Cup 2026/27,pre_24h_to_1h,21,39.81107162764771
World Cup 2026/27,pre_24h_to_1h,22,40.96806484578224
World Cup 2026/27,pre_24h_to_1h,23,42.09233711135885
World Cup 2026/27,pre_24h_to_1h,24,43.18544453734671
World Cup 2026/27,pre_24h_to_1h,25,44.224281555803294
World Cup 2026/27,pre_24h_to_1h,26,45.23598724142202
World Cup 2026/27,pre_24h_to_1h,27,46.220697076675336
World Cup 2026/27,pre_24h_to_1h,28,47.15913384119906
World Cup 2026/27,pre_24h_to_1h,29,48.07387278582931
World Cup 2026/27,pre_24h_to_1h,30,48.96549842066146
World Cup 2026/27,pre_24h_to_1h,31,49.81657608695652
World Cup 2026/27,pre_24h_to_1h,32,50.64730815681903
World Cup 2026/27,pre_24h_to_1h,33,51.45757076055989
World Cup 2026/27,pre_24h_to_1h,34,52.23498467112598
World Cup 2026/27,pre_24h_to_1h,35,52.99484005326397
World Cup 2026/27,pre_24h_to_1h,36,53.737102068623805
World Cup 2026/27,pre_24h_to_1h,37,54.44926374953549
World Cup 2026/27,pre_24h_to_1h,38,55.14604623436145
World Cup 2026/27,pre_24h_to_1h,39,55.82705855939552
World Cup 2026/27,pre_24h_to_1h,40,56.48218986126595
World Cup 2026/27,pre_24h_to_1h,41,57.12352517651431
World Cup 2026/27,pre_24h_to_1h,42,57.75096386101821
World Cup 2026/27,pre_24h_to_1h,43,58.3552931066518
World Cup 2026/27,pre_24h_to_1h,44,58.947405704199184
World Cup 2026/27,pre_24h_to_1h,45,59.52713520376564
World Cup 2026/27,pre_24h_to_1h,46,60.08709587513936
World Cup 2026/27,pre_24h_to_1h,47,60.63655471943515
World Cup 2026/27,pre_24h_to_1h,48,61.17481109872414
World Cup 2026/27,pre_24h_to_1h,49,61.69475411866716
World Cup 2026/27,pre_24h_to_1h,50,62.2055152979066
World Cup 2026/27,pre_24h_to_1h,51,62.70693592840332
World Cup 2026/27,pre_24h_to_1h,52,63.19206769478509
World Cup 2026/27,pre_24h_to_1h,53,63.66858664684752
World Cup 2026/27,pre_24h_to_1h,54,64.13639214046823
World Cup 2026/27,pre_24h_to_1h,55,64.58934488418184
World Cup 2026/27,pre_24h_to_1h,56,65.03435061315496
World Cup 2026/27,pre_24h_to_1h,57,65.47168029233247
World Cup 2026/27,pre_24h_to_1h,58,65.89601526693917
World Cup 2026/27,pre_24h_to_1h,59,66.31273612659483
World Cup 2026/27,pre_24h_to_1h,60,66.72226093150006
World Cup 2026/27,pre_24h_to_1h,61,67.11960779759693
World Cup 2026/27,pre_24h_to_1h,62,67.51001796110492
World Cup 2026/27,pre_24h_to_1h,63,67.89384367645238
World Cup 2026/27,pre_24h_to_1h,64,68.2671946612164
World Cup 2026/27,pre_24h_to_1h,65,68.63448764399851
World Cup 2026/27,pre_24h_to_1h,66,68.99581165613775
World Cup 2026/27,pre_24h_to_1h,67,69.34753576737272
World Cup 2026/27,pre_24h_to_1h,68,69.69402251331599
World Cup 2026/27,pre_24h_to_1h,69,70.0350202836616
World Cup 2026/27,pre_24h_to_1h,70,70.36690589000372
World Cup 2026/27,pre_24h_to_1h,71,70.69364316239316
World Cup 2026/27,pre_24h_to_1h,72,71.01510436021306
World Cup 2026/27,pre_24h_to_1h,73,71.32842112597547
World Cup 2026/27,pre_24h_to_1h,74,71.63694568314133
World Cup 2026/27,pre_24h_to_1h,75,71.94105351170569
World Cup 2026/27,pre_24h_to_1h,76,72.23762464387464
World Cup 2026/27,pre_24h_to_1h,77,72.52990678805897
World Cup 2026/27,pre_24h_to_1h,78,72.81798897559767
World Cup 2026/27,pre_24h_to_1h,79,73.09905704199183
World Cup 2026/27,pre_24h_to_1h,80,73.37633547008546
World Cup 2026/27,pre_24h_to_1h,81,73.64977393781741
World Cup 2026/27,pre_24h_to_1h,82,73.91636086337174
World Cup 2026/27,pre_24h_to_1h,83,74.17914653784219
World Cup 2026/27,pre_24h_to_1h,84,74.43827805648458
World Cup 2026/27,pre_24h_to_1h,85,74.69099157686114
World Cup 2026/27,pre_24h_to_1h,86,74.9402986807878
World Cup 2026/27,pre_24h_to_1h,87,75.18655549362072
World Cup 2026/27,pre_24h_to_1h,88,75.42696720549982
World Cup 2026/27,pre_24h_to_1h,89,75.66412733804039
World Cup 2026/27,pre_24h_to_1h,90,75.8982062120649
World Cup 2026/27,pre_24h_to_1h,91,76.1268851418308
World Cup 2026/27,pre_24h_to_1h,92,76.35284668029233
World Cup 2026/27,pre_24h_to_1h,93,76.57572696023783
World Cup 2026/27,pre_24h_to_1h,94,76.7935905177753
World Cup 2026/27,pre_24h_to_1h,95,77.00856636318593
World Cup 2026/27,pre_24h_to_1h,96,77.22073965688097
World Cup 2026/27,pre_24h_to_1h,97,77.42850009290227
World Cup 2026/27,pre_24h_to_1h,98,77.63360507246377
World Cup 2026/27,pre_24h_to_1h,99,77.83586492010404
World Cup 2026/27,pre_24h_to_1h,100,78.03377384491515
World Cup 2026/27,pre_24h_to_1h,101,78.22924408522235
World Cup 2026/27,pre_24h_to_1h,102,78.42226789917007
World Cup 2026/27,pre_24h_to_1h,103,78.61131627028367
World Cup 2026/27,pre_24h_to_1h,104,78.798057568438
World Cup 2026/27,pre_24h_to_1h,105,78.98237566579958
World Cup 2026/27,pre_24h_to_1h,106,79.16299702712746
World Cup 2026/27,pre_24h_to_1h,107,79.34137325034064
World Cup 2026/27,pre_24h_to_1h,108,79.51758562492257
World Cup 2026/27,pre_24h_to_1h,109,79.69030642264337
World Cup 2026/27,pre_24h_to_1h,110,79.86086337173293
World Cup 2026/27,pre_24h_to_1h,111,80.02936098724142
World Cup 2026/27,pre_24h_to_1h,112,80.19454508856683
World Cup 2026/27,pre_24h_to_1h,113,80.35800275610059
World Cup 2026/27,pre_24h_to_1h,114,80.51963334572031
World Cup 2026/27,pre_24h_to_1h,115,80.6782020314629
World Cup 2026/27,pre_24h_to_1h,116,80.83501718691936
World Cup 2026/27,pre_24h_to_1h,117,80.98990074941162
World Cup 2026/27,pre_24h_to_1h,118,81.14178047194352
World Cup 2026/27,pre_24h_to_1h,119,81.29216214542302
World Cup 2026/27,pre_24h_to_1h,120,81.4407825467608
World Cup 2026/27,pre_24h_to_1h,121,81.58649201040505
World Cup 2026/27,pre_24h_to_1h,122,81.73040536355754
World Cup 2026/27,pre_24h_to_1h,123,81.87276647466865
World Cup 2026/27,pre_24h_to_1h,124,82.01251470952558
World Cup 2026/27,pre_24h_to_1h,125,82.15075328254676
World Cup 2026/27,pre_24h_to_1h,126,82.28747058094885
World Cup 2026/27,pre_24h_to_1h,127,82.42176080763038
World Cup 2026/27,pre_24h_to_1h,128,82.55469233865973
World Cup 2026/27,pre_24h_to_1h,129,82.68628839960361
World Cup 2026/27,pre_24h_to_1h,130,82.81579803047194
World Cup 2026/27,pre_24h_to_1h,131,82.94391025641026
World Cup 2026/27,pre_24h_to_1h,132,83.0706405611297
World Cup 2026/27,pre_24h_to_1h,133,83.19511798587885
World Cup 2026/27,pre_24h_to_1h,134,83.31844961600396
World Cup 2026/27,pre_24h_to_1h,135,83.44041480862133
World Cup 2026/27,pre_24h_to_1h,136,83.56028970023536
World Cup 2026/27,pre_24h_to_1h,137,83.67900331351419
World Cup 2026/27,pre_24h_to_1h,138,83.79650145546884
World Cup 2026/27,pre_24h_to_1h,139,83.91199058590362
World Cup 2026/27,pre_24h_to_1h,140,84.02637650191998
World Cup 2026/27,pre_24h_to_1h,141,84.13962049424006
World Cup 2026/27,pre_24h_to_1h,142,84.25089805524588
World Cup 2026/27,pre_24h_to_1h,143,84.36093691936084
World Cup 2026/27,pre_24h_to_1h,144,84.46981837606837
World Cup 2026/27,pre_24h_to_1h,145,84.5768688839341
World Cup 2026/27,pre_24h_to_1h,146,84.68278520995912
World Cup 2026/27,pre_24h_to_1h,147,84.78757122507122
World Cup 2026/27,pre_24h_to_1h,148,84.89076628886411
World Cup 2026/27,pre_24h_to_1h,149,84.99288910566085
World Cup 2026/27,pre_24h_to_1h,150,85.09400161030595
World Cup 2026/27,pre_24h_to_1h,151,85.19353090548742
World Cup 2026/27,pre_24h_to_1h,152,85.29210795243404
World Cup 2026/27,pre_24h_to_1h,153,85.38976758949585
World Cup 2026/27,pre_24h_to_1h,154,85.48590595193856
World Cup 2026/27,pre_24h_to_1h,155,85.5810959370742
World Cup 2026/27,pre_24h_to_1h,156,85.67535689954168
World Cup 2026/27,pre_24h_to_1h,157,85.76816626409018
World Cup 2026/27,pre_24h_to_1h,158,85.86017434658739
World Cup 2026/27,pre_24h_to_1h,159,85.95134630868327
World Cup 2026/27,pre_24h_to_1h,160,86.04117892976589
World Cup 2026/27,pre_24h_to_1h,161,86.13018704323052
World Cup 2026/27,pre_24h_to_1h,162,86.21830484330485
World Cup 2026/27,pre_24h_to_1h,163,86.30498652917132
World Cup 2026/27,pre_24h_to_1h,164,86.39082822370865
World Cup 2026/27,pre_24h_to_1h,165,86.47597702217267
World Cup 2026/27,pre_24h_to_1h,166,86.55977486684009
World Cup 2026/27,pre_24h_to_1h,167,86.64276755852843
World Cup 2026/27,pre_24h_to_1h,168,86.72509445063793
World Cup 2026/27,pre_24h_to_1h,169,86.80615554936207
World Cup 2026/27,pre_24h_to_1h,170,86.88653536479623
World Cup 2026/27,pre_24h_to_1h,171,86.9661448656014
World Cup 2026/27,pre_24h_to_1h,172,87.0447014740493
World Cup 2026/27,pre_24h_to_1h,173,87.12257292827945
World Cup 2026/27,pre_24h_to_1h,174,87.19968180973616
World Cup 2026/27,pre_24h_to_1h,175,87.27574554069119
World Cup 2026/27,pre_24h_to_1h,176,87.35122476155085
World Cup 2026/27,pre_24h_to_1h,177,87.42609237582063
World Cup 2026/27,pre_24h_to_1h,178,87.49999225814443
World Cup 2026/27,pre_24h_to_1h,179,87.57324182460052
World Cup 2026/27,pre_24h_to_1h,180,87.64583720426111
World Cup 2026/27,pre_24h_to_1h,181,87.71743775548123
World Cup 2026/27,pre_24h_to_1h,182,87.78834153970024
World Cup 2026/27,pre_24h_to_1h,183,87.85859500805152
World Cup 2026/27,pre_24h_to_1h,184,87.9277181654899
World Cup 2026/27,pre_24h_to_1h,185,87.9963535860275
World Cup 2026/27,pre_24h_to_1h,186,88.06435417440852
World Cup 2026/27,pre_24h_to_1h,187,88.13157670630497
World Cup 2026/27,pre_24h_to_1h,188,88.1981992443949
World Cup 2026/27,pre_24h_to_1h,189,88.26421404682274
World Cup 2026/27,pre_24h_to_1h,190,88.32933853586027
World Cup 2026/27,pre_24h_to_1h,191,88.39391335315248
World Cup 2026/27,pre_24h_to_1h,192,88.4580043044717
World Cup 2026/27,pre_24h_to_1h,193,88.52128236095628
World Cup 2026/27,pre_24h_to_1h,194,88.58400300383995
World Cup 2026/27,pre_24h_to_1h,195,88.64624752260622
World Cup 2026/27,pre_24h_to_1h,196,88.7077604360213
World Cup 2026/27,pre_24h_to_1h,197,88.76872367769107
World Cup 2026/27,pre_24h_to_1h,198,88.82929208472687
World Cup 2026/27,pre_24h_to_1h,199,88.88896243651678
World Cup 2026/27,pre_24h_to_1h,200,88.94810634212809
World Cup 2026/27,pre_24h_to_1h,201,89.00675089805524
World Cup 2026/27,pre_24h_to_1h,202,89.06471804162021
World Cup 2026/27,pre_24h_to_1h,203,89.12227873776787
World Cup 2026/27,pre_24h_to_1h,204,89.1794097609315
World Cup 2026/27,pre_24h_to_1h,205,89.23583240431067
