cell,source,horizon,triggers,eligible,followed,follow_pct
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,1,1037870,1037494.0,142676.0,13.751983143998904
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,2,1037870,1037093.0,283494.0,27.335446290737668
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,3,1037870,1036719.0,363625.0,35.07459591268222
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,4,1037870,1036378.0,441989.0,42.6474703245341
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,5,1037870,1035998.0,492819.0,47.56949337740034
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,6,1037870,1035623.0,543732.0,52.50288956502511
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,7,1037870,1035252.0,581470.0,56.16700088480872
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,8,1037870,1034846.0,616571.0,59.58094247839775
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,9,1037870,1034439.0,643332.0,62.191390695826435
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,10,1037870,1034054.0,669281.0,64.72398926941919
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,11,1037870,1033659.0,690261.0,66.77840564441465
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,12,1037870,1033290.0,710707.0,68.78098113791869
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,13,1037870,1032927.0,727613.0,70.44186084786243
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,14,1037870,1032559.0,744149.0,72.06842417721408
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,15,1037870,1032166.0,757999.0,73.43770285012295
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,16,1037870,1031739.0,771810.0,74.80670983649935
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,17,1037870,1031360.0,783456.0,75.96338814768849
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,18,1037870,1030995.0,794956.0,77.10570856308712
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,19,1037870,1030597.0,804722.0,78.08309164493978
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,20,1037870,1030207.0,814388.0,79.0509091862121
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,21,1037870,1029848.0,822870.0,79.90208263743776
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,22,1037870,1029456.0,831337.0,80.75498127166193
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,23,1037870,1029085.0,838675.0,81.497155239849
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,24,1037870,1028685.0,846090.0,82.24966826579565
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,25,1037870,1028302.0,852509.0,82.90453582702358
Premier League 2025/26 | post_0_to_105m  F=60s,KALSHI,26,1037870,1027949.0,858854.0,83.55025395228752
