cell,outcome,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
Premier League 2025/26 | post_0_to_105m  F=60s,all,buy,buy,-0.2950077097056602,10.254504349151016,3.799291493495062,971339
Premier League 2025/26 | post_0_to_105m  F=60s,all,buy,sell,1.2133425283353725,4.413523992763533,21.786902715477524,443863
Premier League 2025/26 | post_0_to_105m  F=60s,all,buy,all,0.07544139511837324,8.305994259240428,7.73245348789499,1121106
Premier League 2025/26 | post_0_to_105m  F=60s,all,sell,buy,-1.4902169622039443,36.20068080110481,1.6482122247181552,855169
Premier League 2025/26 | post_0_to_105m  F=60s,all,sell,sell,0.015285854314117229,11.807444324576199,9.999037677459874,394878
Premier League 2025/26 | post_0_to_105m  F=60s,all,sell,all,-1.1271150050262326,29.887682523408653,3.307248071639687,998776
Premier League 2025/26 | post_0_to_105m  F=60s,all,all,buy,-0.8050998173173923,19.347026140497793,2.4184217018600305,1151164
Premier League 2025/26 | post_0_to_105m  F=60s,all,all,sell,0.671037304655013,6.557443399806063,15.17095998988153,592975
Premier League 2025/26 | post_0_to_105m  F=60s,all,all,all,-0.43760806631735544,15.665669884877067,5.132710945031904,1304866
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,buy,buy,-0.18744982808047456,8.843691229883571,4.806946896937852,557256
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,buy,sell,1.3055932283154883,3.6964836062530164,22.902602948275224,269310
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,buy,all,0.18105726803724462,7.192569983593761,8.992737941102693,641829
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,sell,buy,-1.4974601628069713,35.04048205619579,1.8139248651433357,498863
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,sell,sell,-0.02624079026470766,11.010483246075445,10.000286987573439,243913
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,sell,all,-1.1370488729467867,28.325186563321687,3.5326889146717377,582644
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,all,buy,-0.7361209487779942,17.838613791865935,3.2637680707147148,640885
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,all,sell,0.7117653832888328,6.0572021331163155,15.905528507936143,348973
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,all,all,-0.36998346830272205,14.363441051500825,6.194193755858587,730765
World Cup 2026/27 | post_0_to_105m  F=5s,all,buy,buy,-0.15024742248992562,3.302442910053574,0.9387460107354864,1354573
World Cup 2026/27 | post_0_to_105m  F=5s,all,buy,sell,0.8156346269430179,0.8007218619439032,7.211495801427977,800153
World Cup 2026/27 | post_0_to_105m  F=5s,all,buy,all,0.031307078923884714,2.1343368300351293,1.6705246196496817,1398842
