cell,outcome_sel,route,direction,n,pos_pct,mean_net_c,open_pct_of_fresh
Premier League 2025/26 | post_0_to_105m  F=60s,all,maker/maker,K YES + PM NO,443863.0,69.72737083289213,0.9187733538763315,73.65567475764333
Premier League 2025/26 | post_0_to_105m  F=60s,all,maker/maker,PM YES + K NO,855169.0,80.16029580118082,1.1742080013486023,81.22585859489963
Premier League 2025/26 | post_0_to_105m  F=60s,all,maker/taker,K YES + PM NO,971339.0,11.022001587499318,-1.5612507528389712,11.976985189833785
Premier League 2025/26 | post_0_to_105m  F=60s,all,maker/taker,PM YES + K NO,394878.0,19.696969696969695,-1.1371556568321461,17.89109673620709
Premier League 2025/26 | post_0_to_105m  F=60s,all,taker/maker,K YES + PM NO,394878.0,20.733745612568946,-1.0736634666439653,17.833884109019216
Premier League 2025/26 | post_0_to_105m  F=60s,all,taker/maker,PM YES + K NO,971339.0,17.54948581288304,-0.9292215777685706,17.39393606148916
Premier League 2025/26 | post_0_to_105m  F=60s,all,taker/taker,K YES + PM NO,855169.0,1.701535018224468,-3.6212835207956395,1.3880941649324814
Premier League 2025/26 | post_0_to_105m  F=60s,all,taker/taker,PM YES + K NO,443863.0,3.638059491329532,-3.2215576608133802,2.122525295373424
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,maker/maker,K YES + PM NO,269310.0,73.56689317143812,1.02128092715755,76.67242104688351
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,maker/maker,PM YES + K NO,498863.0,80.1731136604639,1.1942568675817204,81.04712865893951
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,maker/taker,K YES + PM NO,557256.0,12.338494336534735,-1.4001916423523888,15.95096879961182
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,maker/taker,PM YES + K NO,243913.0,20.282231779363954,-1.0485312885304516,20.369128904319723
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,taker/maker,K YES + PM NO,243913.0,20.845957370045877,-1.0683207793380096,19.51944644221312
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,taker/maker,PM YES + K NO,557256.0,17.729373932268114,-0.9834500951255378,19.192172344104055
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,taker/taker,K YES + PM NO,498863.0,1.9205673701998345,-3.537716661232486,2.1260470058757344
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,taker/taker,PM YES + K NO,269310.0,3.5245627715272363,-3.243574932653074,2.464434331186714
World Cup 2026/27 | post_0_to_105m  F=5s,all,maker/maker,K YES + PM NO,800153.0,72.34341432201091,0.5282578572887601,73.05850519909033
World Cup 2026/27 | post_0_to_105m  F=5s,all,maker/maker,PM YES + K NO,1038044.0,76.97217073650057,0.6278844437290869,76.8995972716903
World Cup 2026/27 | post_0_to_105m  F=5s,all,maker/taker,K YES + PM NO,1354573.0,6.213397136957551,-1.3059970426810064,6.116507780103706
World Cup 2026/27 | post_0_to_105m  F=5s,all,maker/taker,PM YES + K NO,651913.0,8.550374052979462,-1.1562612472673186,8.023563412616099
World Cup 2026/27 | post_0_to_105m  F=5s,all,taker/maker,K YES + PM NO,651913.0,18.72228349488352,-0.9758869524004253,18.50275605691578
