cell,direction,freshness,n,pos_pct,open_pct_of_clock,open_pct_of_fresh,mean_net_c,time_mean_net_c,both_fresh_pct,k_only_pct_of_clock,pm_only_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,1,71432,65.9438346959346,0.26745329400196655,65.43205162472793,0.7394138483192109,0.7018315901746179,0.40874966833668896,3.6210141873858688,4.174915328307659
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,2,103401,66.76724596473922,0.9339482761311669,66.04891940219431,0.7842056667448754,0.7512140208781858,1.413790950664107,5.9623698709244435,7.726022693574316
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,3,133053,67.21907811172991,1.7032510808322017,67.31122707030335,0.8013452696186177,0.8164654498799616,2.5298809133617395,7.768288305161462,10.13077679449361
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,4,156330,67.52830550758011,2.6197811802531565,68.08251738040578,0.8155208498647543,0.8504594559741426,3.846888607950555,9.067331554057217,12.292737744065178
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,5,178228,67.82884844132235,3.525151784738805,68.75013317180228,0.8312967770259163,0.8763053526703325,5.1258915890184324,10.16567557865493,13.90479312013235
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,6,196578,67.94147870056669,4.4996488270824555,69.24856241082624,0.8344121957015596,0.8934418640147112,6.49554400586849,10.976089026236519,15.382403895678232
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,7,213685,68.0389358167396,5.436937147851602,69.6308674524917,0.8386848572411657,0.9049474723591735,7.805231696087153,11.680026845218586,16.533845265408686
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,8,228011,68.19188547920933,6.410950351953302,69.92293694175245,0.8457577698279674,0.9126484539595721,9.164770332911926,12.196968987529461,17.59451233787517
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,9,241735,68.33640143131942,7.335986639821448,70.19505762421278,0.8514181850429041,0.9183915763912017,10.446254935930453,12.661422484431334,18.442025253234693
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10,253709,68.46899400494267,8.281375349221957,70.42415410078455,0.8553362485127828,0.922386112070865,11.753851196329071,12.99402225655913,19.238110845780465
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,11,265291,68.57149319049647,9.17814611914907,70.63182157223315,0.8598008159810272,0.92511928956254,12.988169374600051,13.30296077788703,19.87254764245915
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,12,275290,68.66686040175814,10.089353997908571,70.81231480416481,0.8639103865550366,0.9274016486071691,14.240951444491266,13.50784286182516,20.47531644581792
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,13,285010,68.74741237149574,10.950492422468823,70.97799872127936,0.8682928204640291,0.9298027781376459,15.420158886235582,13.710914454277287,20.953785644051127
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,14,293502,68.80600472909894,11.820948635107927,71.12444194856442,0.8702881593266717,0.9320926384946785,16.61133742254686,13.835245274773296,21.41649108020789
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,15,301820,68.86488635610628,12.642037739382872,71.24945242665156,0.8721294479567699,0.9333930034254768,17.733810928501196,13.96778573769724,21.783786736589096
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,16,309179,68.9267382325449,13.469697679137207,71.36647991565194,0.8754984316052978,0.934870345458046,18.86354200808478,14.036319083516723,22.14054720544396
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,17,316347,68.97331095284608,14.253343946559285,71.47415553404122,0.876956894347524,0.9361210989208086,19.930701877604527,14.113998532877588,22.42460707652448
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,18,322792,69.02215668294134,15.040299043248895,71.57817878222012,0.8790780503323183,0.9375150224463769,21.000358976760158,14.143575096377456,22.699583274804514
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,19,329205,69.07063987485002,15.790217102901469,71.67506670199546,0.8806306073836785,0.9389208664916262,22.017293315228418,14.181891963602878,22.914672784879276
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,20,334934,69.10674938943195,16.540088339498368,71.76547788911681,0.8818853893364573,0.9403747354519383,23.033244369527555,14.180658956470166,23.12105320659893
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,21,340469,69.14755822115964,17.257011752586973,71.85197508223823,0.8837078208937981,0.9416074930032907,24.002231898987056,14.187932137784646,23.27973654227342
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,22,345735,69.19548208888311,17.972218320300914,71.93499538965534,0.8860616717333463,0.9428394836989913,24.967816953067697,14.164364533096096,23.431895865524186
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,23,350787,69.23688734189123,18.658222908960372,72.01238748167991,0.8882651858870692,0.9437771009652443,25.892759594824494,14.148460301852634,23.544786252750857
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,24,355525,69.27051543492018,19.342432613819046,72.08869437042388,0.8898134429175785,0.9449748983159224,26.813644238423002,14.105601598226968,23.654726787470153
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,25,360118,69.30283962478966,19.99967223861029,72.16279046193458,0.8920827022047846,0.94616649249954,27.69611836868474,14.072731813144795,23.73115762201308
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,26,364334,69.32018422656134,20.65595979460286,72.23379014972932,0.893527537239422,0.9474564527962304,28.576688361349127,14.014499539573286,23.806230587941503
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,27,368469,69.344232486315,21.285417739695024,72.30033059989354,0.8946755372096279,0.9485820043067322,29.420564686051414,13.968925098718609,23.850774921571382
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,28,372298,69.37802513040629,21.914110908211203,72.36574502145626,0.8959612083111509,0.9499067906120504,30.262365188618876,13.901078491048992,23.896146462518143
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,29,376161,69.39156371872683,22.51759766509029,72.42918985838223,0.8967747354562755,0.9512676802556954,31.06876746109785,13.845998969892777,23.91517223080645
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30,379746,69.40744602971459,23.12105320659893,72.49078199510167,0.8972974928222809,0.9526067248034826,31.874514210797397,13.769864681369107,23.93388584539027
