cell,direction,price_bucket,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,0-10c,53128.0,44027.0,82.86967324198163
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,90-100c,31937.0,24113.0,75.50176910793124
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,70-80c,31192.0,18340.0,58.797127468581685
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,80-90c,30221.0,16844.0,55.73607756196023
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10-20c,66157.0,52978.0,80.07920552624817
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,20-30c,59480.0,45820.0,77.03429724277068
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,60-70c,37963.0,21081.0,55.53038484840503
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30-40c,47831.0,33974.0,71.02924881353097
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,50-60c,44882.0,26449.0,58.93008332961989
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,40-50c,41072.0,25868.0,62.98208024931827
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,0-10c,91522.0,73849.0,80.68988876991324
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,90-100c,29556.0,23951.0,81.03599945865476
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,70-80c,51017.0,44225.0,86.68679067761727
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,80-90c,40444.0,35228.0,87.10315497972505
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,10-20c,136325.0,101954.0,74.78745644599303
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,20-30c,129908.0,95574.0,73.5705268343751
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,60-70c,70852.0,61024.0,86.12883193134985
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,30-40c,111828.0,87171.0,77.95096040347677
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,50-60c,99290.0,84152.0,84.75375163662
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,40-50c,94427.0,78378.0,83.00380187869995
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,0-10c,36981.0,30627.0,82.8182039425651
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,90-100c,23168.0,17271.0,74.54678867403315
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,70-80c,18942.0,12651.0,66.78808995882167
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,80-90c,14726.0,9240.0,62.74616324867581
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10-20c,39034.0,30082.0,77.06614746118768
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,20-30c,41239.0,31676.0,76.81078590654478
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,60-70c,22367.0,16099.0,71.97657262931997
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30-40c,30474.0,21817.0,71.5921769377174
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,50-60c,20225.0,14094.0,69.68603213844253
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,40-50c,22154.0,14566.0,65.74884896632662
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,0-10c,69242.0,58911.0,85.0798648219289
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,90-100c,20111.0,16443.0,81.76122520013922
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,70-80c,32001.0,26068.0,81.45995437642574
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,80-90c,20592.0,17126.0,83.16822066822067
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,10-20c,76355.0,62070.0,81.2913365202017
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,20-30c,85395.0,65718.0,76.95766731073248
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,60-70c,41489.0,31061.0,74.86562703367157
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,30-40c,63469.0,50384.0,79.38363610581544
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,50-60c,40439.0,31095.0,76.89359281881352
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,40-50c,49770.0,41078.0,82.53566405465139
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,0-10c,119682.0,99827.0,83.41020370648886
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,90-100c,55463.0,45832.0,82.63527036042046
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,70-80c,38840.0,22956.0,59.104016477857876
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,80-90c,45161.0,31605.0,69.98294989039215
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,10-20c,110135.0,86868.0,78.87410904798656
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,20-30c,134774.0,102626.0,76.14673453336697
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,60-70c,42312.0,23405.0,55.3152769899792
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,30-40c,108183.0,75096.0,69.4157122653282
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,50-60c,55436.0,31555.0,56.921495057363444
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,40-50c,90167.0,59088.0,65.5317355573547
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,0-10c,190449.0,163603.0,85.90383777284207
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,90-100c,53915.0,44078.0,81.75461374385607
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,70-80c,48704.0,39329.0,80.751067674113
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,80-90c,53501.0,43871.0,82.00033644230949
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,10-20c,141082.0,106294.0,75.34199968812463
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,20-30c,179078.0,127089.0,70.96851651235774
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,60-70c,52691.0,41212.0,78.21449583420319
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,30-40c,140786.0,99844.0,70.91898342164704
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,50-60c,68293.0,51862.0,75.94043313370331
World Cup 2026/27 | post_0_to_105m  F=5s,PM YES + K NO,40-50c,109545.0,81823.0,74.6935049523027
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,0-10c,10396.0,7926.0,76.24086186994998
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,90-100c,2903.0,1869.0,64.38167413021013
World Cup 2026/27 | pre_last_hour  F=10s,K YES + PM NO,70-80c,14097.0,8723.0,61.87841384691778
