cell,fixture_rank,fixtures_pct,observations,cumulative_pct
Premier League 2025/26 | post_0_to_105m  F=60s,1,0.2949852507374631,14105,1.0858085097210846
Premier League 2025/26 | post_0_to_105m  F=60s,2,0.5899705014749262,13936,2.158607332228921
Premier League 2025/26 | post_0_to_105m  F=60s,3,0.8849557522123894,13534,3.2004600348567243
Premier League 2025/26 | post_0_to_105m  F=60s,4,1.1799410029498525,12939,4.1965094008461685
Premier League 2025/26 | post_0_to_105m  F=60s,5,1.4749262536873156,12900,5.189556531324864
Premier League 2025/26 | post_0_to_105m  F=60s,6,1.7699115044247788,12418,6.145499110106602
Premier League 2025/26 | post_0_to_105m  F=60s,7,2.0648967551622417,12212,7.085583726959767
Premier League 2025/26 | post_0_to_105m  F=60s,8,2.359882005899705,12044,8.012735636997395
Premier League 2025/26 | post_0_to_105m  F=60s,9,2.6548672566371683,11816,8.922336016356795
Premier League 2025/26 | post_0_to_105m  F=60s,10,2.949852507374631,11741,9.82616286588783
Premier League 2025/26 | post_0_to_105m  F=60s,11,3.2448377581120944,10624,10.64400261117509
Premier League 2025/26 | post_0_to_105m  F=60s,12,3.5398230088495577,10294,11.436438825217547
Premier League 2025/26 | post_0_to_105m  F=60s,13,3.8348082595870205,9902,12.198698723357085
Premier League 2025/26 | post_0_to_105m  F=60s,14,4.129793510324483,9854,12.95726356240647
Premier League 2025/26 | post_0_to_105m  F=60s,15,4.424778761061947,9842,13.714904636683315
Premier League 2025/26 | post_0_to_105m  F=60s,16,4.71976401179941,9709,14.462307318064529
Premier League 2025/26 | post_0_to_105m  F=60s,17,5.014749262536873,9680,15.207477567912107
Premier League 2025/26 | post_0_to_105m  F=60s,18,5.3097345132743365,9237,15.91854550157348
Premier League 2025/26 | post_0_to_105m  F=60s,19,5.6047197640118,9081,16.617604493191855
Premier League 2025/26 | post_0_to_105m  F=60s,20,5.899705014749262,8917,17.304038699585536
