cell,freshness,prints,mean_abs_gap_c,mean_gap_c,ge_2c_pct
Premier League 2025/26 | post_0_to_105m  F=60s,5,753318,1.3401556384589033,-0.47547873498809884,21.80725802383588
Premier League 2025/26 | post_0_to_105m  F=60s,10,959169,1.31122837371325,-0.46548192670344507,21.317306960504354
Premier League 2025/26 | post_0_to_105m  F=60s,60,1304866,1.2792193754573136,-0.43760806631735544,20.79838082990897
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,5,460096,1.3382262410149453,-0.38055597231140176,19.77326470997357
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,10,560374,1.3556514810697606,-0.3776320542573534,19.893499698415702
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,60,730765,1.4284664272376781,-0.36998346830272205,20.55763480735941
World Cup 2026/27 | post_0_to_105m  F=5s,5,1555311,0.6901004864249068,-0.21389847796794798,4.570597134592374
World Cup 2026/27 | post_0_to_105m  F=5s,10,1656198,0.6822310966831039,-0.20879054967889513,4.418010406968249
World Cup 2026/27 | post_0_to_105m  F=5s,60,1705572,0.6782022423139896,-0.20765295128597056,4.325352433084033
World Cup 2026/27 | pre_last_hour  F=10s,5,696212,0.5797738389629152,-0.38115180911467794,4.334455596858428
World Cup 2026/27 | pre_last_hour  F=10s,10,790939,0.5691120433655168,-0.36393711429999814,4.157210606633381
World Cup 2026/27 | pre_last_hour  F=10s,60,867580,0.5607044124762463,-0.35037616584628745,4.00723852555384
