cell,selection,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,buy,-0.34170480957230964,11.048997979538363,4.177643556298057,280134
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,sell,1.194688182930875,4.9234026557837325,22.114654372223967,130357
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,all,0.04556894435982376,8.993996021904085,8.277570414753333,325784
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,sell,buy,-1.5497353186813185,38.69833766955969,1.8911243073623165,251755
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,sell,sell,-0.019553983900144723,12.730034022551607,10.239854746612592,117863
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,sell,all,-1.1770699352833731,32.02915798869384,3.6275053420248304,295768
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,all,buy,-0.8844735884054296,21.45079845332176,2.694204117540413,336463
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,all,sell,0.6396505946898821,7.393220338983051,15.42542372881356,177000
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,all,all,-0.4989316073686378,17.457495914447087,5.5464475889373395,383669
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,buy,-0.23114307459925076,8.785801243031973,4.185942205420645,156070
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,sell,1.2666998112485721,3.2048380607523637,21.249497083081874,79536
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,buy,all,0.14702088294155466,6.977627785351899,8.093444784659052,178972
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,sell,buy,-1.506792719306596,35.88302327369841,1.6009843606898913,143037
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,sell,sell,-0.0025138777495687286,10.409009912016927,9.204811226194455,71832
