cell,class,direction,n,fixtures,pos_pct,mean_net_c
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | draw,K YES + PM NO,31441.0,142,75.68461562927388,1.3333914793478088
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | draw,PM YES + K NO,61428.0,142,76.17861561502897,1.1707424445608323
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,K YES + PM NO,130357.0,142,68.80566444456377,0.8942271005615439
Premier League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,PM YES + K NO,251755.0,142,80.759468530913,1.2215817957457853
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,K YES + PM NO,50727.0,195,77.016184674828,1.439467367969621
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | draw,PM YES + K NO,106486.0,195,74.97887046184475,1.033677945274481
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,K YES + PM NO,157926.0,195,65.54525537276953,0.64939035308958
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,PM YES + K NO,278312.0,195,82.57854494236685,1.2286004806608157
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,K YES + PM NO,72920.0,195,72.74958859023587,0.9969356875089839
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,PM YES + K NO,156492.0,195,79.98619737750172,1.0931757226636967
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,K YES + PM NO,17689.0,59,80.81293459211939,1.4447994723672646
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | draw,PM YES + K NO,35208.0,59,74.63360599863667,0.8522086171212075
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,K YES + PM NO,79536.0,59,72.35717159525247,0.9759791247569891
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,balanced | team_win,PM YES + K NO,143037.0,59,80.76861231709277,1.1879017509314254
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,K YES + PM NO,29757.0,130,83.21739422656854,1.799172459638644
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | draw,PM YES + K NO,60437.0,128,74.16317818554859,0.9383936430794024
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,K YES + PM NO,89299.0,130,70.01534171715248,0.6285337024050177
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,PM YES + K NO,150976.0,130,80.6399692666384,1.509793111193372
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,K YES + PM NO,53029.0,130,73.52957815534896,1.1728153837879383
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,PM YES + K NO,109205.0,130,83.85971338308686,1.0182306545535256
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,K YES + PM NO,45548.0,20,82.7720207253886,0.7922501546830988
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | draw,PM YES + K NO,57135.0,20,60.54257460400805,0.24349142461471676
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | team_win,K YES + PM NO,109238.0,20,64.07019535326535,0.3731178075789229
World Cup 2026/27 | post_0_to_105m  F=5s,balanced | team_win,PM YES + K NO,150951.0,20,78.97595908606104,0.7068749312415321
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,K YES + PM NO,178815.0,84,81.77613734865643,0.756060540967707
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | draw,PM YES + K NO,228584.0,84,68.94839533825639,0.42642299482224816
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,K YES + PM NO,288038.0,84,67.11649157402843,0.4036751162640352
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,PM YES + K NO,340105.0,84,79.65128416224401,0.7708214309558725
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,K YES + PM NO,178514.0,84,73.73035168110064,0.5286661964986522
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | weak,PM YES + K NO,261269.0,84,82.93980533473163,0.6564981784728312
