combo,fixtures,trades,pm_trades,k_trades,trades_per_fixture,pm_trades_per_fixture,k_trades_per_fixture
World Cup 2026/27,104,29220673,5343638,23877035,280968,51381,229587
UEFA Champions League 2025/26,189,3702166,1279303,2422863,19588,6769,12819
Premier League 2025/26,339,5223092,1935389,3287703,15407,5709,9698
La Liga 2025/26,336,3356317,1334990,2021327,9989,3973,6016
Serie A 2025/26,348,2159847,888826,1271021,6206,2554,3652
UEFA Champions League 2026/27,73,437983,136926,301057,6000,1876,4124
Bundesliga 2025/26,275,1525955,692814,833141,5549,2519,3030
Ligue 1 2025/26,278,1173568,512157,661411,4221,1842,2379
UEFA Champions League Women 2026/27,27,27141,4563,22578,1005,169,836
UEFA Champions League Women 2025/26,4,3156,3156,0,789,789,0
