combo,phase,freshness,series,clock_pct
Bundesliga 2025/26,post_105_to_135m,60,Both fresh,28.80175084175084
Bundesliga 2025/26,pre_24h_to_1h,60,Both fresh,1.6820333772507683
Bundesliga 2025/26,pre_last_hour,60,Both fresh,18.07838383838384
La Liga 2025/26,post_105_to_135m,60,Both fresh,37.24371693121693
La Liga 2025/26,pre_24h_to_1h,60,Both fresh,4.581814086343072
La Liga 2025/26,pre_last_hour,60,Both fresh,33.34173831569665
Ligue 1 2025/26,post_105_to_135m,60,Both fresh,25.299493738342655
Ligue 1 2025/26,pre_24h_to_1h,60,Both fresh,1.2803887324922671
Ligue 1 2025/26,pre_last_hour,60,Both fresh,15.66669997335465
Premier League 2025/26,post_105_to_135m,60,Both fresh,42.14164754725227
Premier League 2025/26,pre_24h_to_1h,60,Both fresh,8.786564395612748
Premier League 2025/26,pre_last_hour,60,Both fresh,52.511307767944935
Serie A 2025/26,post_105_to_135m,60,Both fresh,31.26000425713069
Serie A 2025/26,pre_24h_to_1h,60,Both fresh,2.6049868584226403
Serie A 2025/26,pre_last_hour,60,Both fresh,25.5941091954023
UEFA Champions League 2025/26,post_105_to_135m,60,Both fresh,30.44150499706055
UEFA Champions League 2025/26,pre_24h_to_1h,60,Both fresh,12.619226541931855
UEFA Champions League 2025/26,pre_last_hour,60,Both fresh,54.0671173819322
UEFA Champions League 2026/27,post_105_to_135m,60,Both fresh,21.95738203957382
UEFA Champions League 2026/27,pre_24h_to_1h,60,Both fresh,0.5242924580327797
UEFA Champions League 2026/27,pre_last_hour,60,Both fresh,12.518645357686454
UEFA Champions League Women 2025/26,post_105_to_135m,60,Both fresh,0.0
UEFA Champions League Women 2025/26,pre_24h_to_1h,60,Both fresh,0.0
UEFA Champions League Women 2025/26,pre_last_hour,60,Both fresh,0.0
UEFA Champions League Women 2026/27,post_105_to_135m,60,Both fresh,4.478737997256515
UEFA Champions League Women 2026/27,pre_24h_to_1h,60,Both fresh,0.2206864674658555
UEFA Champions League Women 2026/27,pre_last_hour,60,Both fresh,1.7829218106995883
World Cup 2026/27,post_105_to_135m,60,Both fresh,57.12143874643875
World Cup 2026/27,pre_24h_to_1h,60,Both fresh,66.72226093150006
World Cup 2026/27,pre_last_hour,60,Both fresh,99.55243945868946
Bundesliga 2025/26,post_0_to_105m,60,Both fresh,52.643443963443964
La Liga 2025/26,post_0_to_105m,60,Both fresh,65.34533257747545
Ligue 1 2025/26,post_0_to_105m,60,Both fresh,45.88083818659358
Premier League 2025/26,post_0_to_105m,60,Both fresh,78.3094535749403
Serie A 2025/26,post_0_to_105m,60,Both fresh,58.46355592045247
UEFA Champions League 2025/26,post_0_to_105m,60,Both fresh,69.68469527728787
