combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,1,34425,1957,34403,22,1972,5.732058250733948
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,5,34425,1957,34305,120,9447,27.538259728902492
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,10,34425,1957,34182,243,12969,37.94102159031069
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,30,34425,1957,33716,709,19578,58.06738640408115
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,60,34425,1957,33073,1352,23529,71.14262389260122
Bundesliga 2025/26,pre_last_hour,KALSHI,60,all,300,34425,1957,28618,5807,26600,92.94849395485359
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,1,50769,1957,50722,47,1952,3.848428689720437
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,5,50769,1957,50597,172,7824,15.463367393323715
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,10,50769,1957,50403,366,12731,25.258417157708866
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,30,50769,1957,49425,1344,22706,45.940313606474454
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,60,50769,1957,48522,2247,29129,60.03256254894687
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60,all,300,50769,1957,42416,8353,36593,86.27168992832894
La Liga 2025/26,pre_last_hour,KALSHI,60,all,1,120255,11362,120180,75,11213,9.330171409552339
La Liga 2025/26,pre_last_hour,KALSHI,60,all,5,120255,11362,119924,331,44597,37.18771888862946
La Liga 2025/26,pre_last_hour,KALSHI,60,all,10,120255,11362,119617,638,61264,51.21680028758454
La Liga 2025/26,pre_last_hour,KALSHI,60,all,30,120255,11362,118272,1983,86058,72.7627840909091
La Liga 2025/26,pre_last_hour,KALSHI,60,all,60,120255,11362,116376,3879,97060,83.40207602942188
La Liga 2025/26,pre_last_hour,KALSHI,60,all,300,120255,11362,103233,17022,100503,97.35549678881753
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,1,94607,11362,94550,57,11201,11.846641988365944
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,5,94607,11362,94335,272,32994,34.975353792335824
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,10,94607,11362,94080,527,45411,48.26849489795919
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,30,94607,11362,92610,1997,64634,69.79159917935428
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,60,94607,11362,91102,3505,73752,80.95541261443218
La Liga 2025/26,pre_last_hour,POLYMARKET,60,all,300,94607,11362,80317,14290,77251,96.1826263431154
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,1,30625,1888,30599,26,1797,5.8727409392463805
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,5,30625,1888,30530,95,9282,30.40288241074353
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,10,30625,1888,30428,197,12146,39.917181543315365
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,30,30625,1888,30076,549,17526,58.27237664583056
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,60,30625,1888,29523,1102,20717,70.1724079531213
Ligue 1 2025/26,pre_last_hour,KALSHI,60,all,300,30625,1888,25837,4788,23607,91.36896698533111
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,1,47089,1888,47052,37,1842,3.914817648559041
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,5,47089,1888,46936,153,7372,15.706493949207431
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,10,47089,1888,46790,299,11964,25.569566146612523
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,30,47089,1888,45903,1186,21026,45.805285057621504
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,60,47089,1888,45146,1943,26944,59.68192087892615
Ligue 1 2025/26,pre_last_hour,POLYMARKET,60,all,300,47089,1888,39540,7549,34146,86.35811836115326
Premier League 2025/26,pre_last_hour,KALSHI,60,all,1,211327,18995,211211,116,19037,9.01326161989669
Premier League 2025/26,pre_last_hour,KALSHI,60,all,5,211327,18995,210742,585,76633,36.36342067551793
Premier League 2025/26,pre_last_hour,KALSHI,60,all,10,211327,18995,210096,1231,108127,51.46552052395096
Premier League 2025/26,pre_last_hour,KALSHI,60,all,30,211327,18995,207613,3714,156883,75.56511393795186
Premier League 2025/26,pre_last_hour,KALSHI,60,all,60,211327,18995,204041,7286,177243,86.86636509329007
Premier League 2025/26,pre_last_hour,KALSHI,60,all,300,211327,18995,179103,32224,176529,98.56283814341468
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,1,137789,18995,137681,108,19353,14.056405749522447
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,5,137789,18995,137347,442,59576,43.376265954116214
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,10,137789,18995,136975,814,82113,59.947435663442235
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,30,137789,18995,135021,2768,111252,82.39607172217654
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,60,137789,18995,132697,5092,121461,91.53258928235002
Premier League 2025/26,pre_last_hour,POLYMARKET,60,all,300,137789,18995,115810,21979,115024,99.32130213280374
Serie A 2025/26,pre_last_hour,KALSHI,60,all,1,66124,3597,66079,45,3571,5.404137471814041
Serie A 2025/26,pre_last_hour,KALSHI,60,all,5,66124,3597,65912,212,18800,28.52287899016871
Serie A 2025/26,pre_last_hour,KALSHI,60,all,10,66124,3597,65711,413,25432,38.702804705452664
Serie A 2025/26,pre_last_hour,KALSHI,60,all,30,66124,3597,64913,1211,39104,60.240629765994484
Serie A 2025/26,pre_last_hour,KALSHI,60,all,60,66124,3597,63759,2365,47656,74.74395771577346
Serie A 2025/26,pre_last_hour,KALSHI,60,all,300,66124,3597,55690,10434,52964,95.10504578919016
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,1,71932,3597,71889,43,3568,4.96320716660407
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,5,71932,3597,71728,204,14237,19.848594691055098
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,10,71932,3597,71529,403,23147,32.36030141620881
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,30,71932,3597,70326,1606,39855,56.67178568381537
Serie A 2025/26,pre_last_hour,POLYMARKET,60,all,60,71932,3597,69067,2865,49102,71.09328622931356
