panel,gap_bucket,weighting,share_pct
Premier League 2025/26 | post_0_to_105m  F=60s | all,≤−4,per print,3.0852210111996174
Premier League 2025/26 | post_0_to_105m  F=60s | all,≤−4,per second,2.618615835173614
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−4,−3]",per print,2.7371392924637474
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−4,−3]",per second,2.4367481255860346
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−3,−2]",per print,9.843309581213703
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−3,−2]",per second,9.227313498851561
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−2,−1]",per print,25.656580828989338
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−2,−1]",per second,25.179843633653025
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−1,1)",per print,44.04981047862386
Premier League 2025/26 | post_0_to_105m  F=60s | all,"(−1,1)",per second,45.617307265096514
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[1,2)",per print,9.495227862477833
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[1,2)",per second,10.042707005137364
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[2,3)",per print,2.696292186324113
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[2,3)",per second,2.8043522219168935
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[3,4)",per print,0.9128140360772677
Premier League 2025/26 | post_0_to_105m  F=60s | all,"[3,4)",per second,0.8733239554471971
Premier League 2025/26 | post_0_to_105m  F=60s | all,≥4,per print,1.523604722630523
Premier League 2025/26 | post_0_to_105m  F=60s | all,≥4,per second,1.1997884591377954
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,≤−4,per print,3.3625036776528705
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,≤−4,per second,3.2781856339908173
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−4,−3]",per print,2.470835357467859
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−4,−3]",per second,2.5493917001037287
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−3,−2]",per print,8.530102016380095
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−3,−2]",per second,8.39313139760218
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−2,−1]",per print,23.387272242102455
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−2,−1]",per second,22.014425512411247
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−1,1)",per print,46.22210970695094
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"(−1,1)",per second,45.59881154362632
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[1,2)",per print,9.832983243587199
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[1,2)",per second,10.975089053818257
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[2,3)",per print,3.102775858176021
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[2,3)",per second,3.8918327798460957
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[3,4)",per print,1.1530382544319993
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,"[3,4)",per second,1.3593271310598811
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,≥4,per print,1.9383796432505662
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all,≥4,per second,1.9398052475414713
World Cup 2026/27 | post_0_to_105m  F=5s | all,≤−4,per print,0.17559189126804864
World Cup 2026/27 | post_0_to_105m  F=5s | all,≤−4,per second,0.16796614271987795
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−4,−3]",per print,0.32141481671511357
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−4,−3]",per second,0.31313338761060217
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−3,−2]",per print,3.123040986657974
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−3,−2]",per second,3.0807851133588096
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−2,−1]",per print,17.759599205560818
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−2,−1]",per second,17.6236702680368
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−1,1)",per print,70.95950584802654
World Cup 2026/27 | post_0_to_105m  F=5s | all,"(−1,1)",per second,71.26978247528795
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[1,2)",per print,6.710297811820273
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[1,2)",per second,6.624088349702086
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[2,3)",per print,0.6832717057874599
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[2,3)",per second,0.6652021583771586
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[3,4)",per print,0.09695810034134653
World Cup 2026/27 | post_0_to_105m  F=5s | all,"[3,4)",per second,0.0930292828310241
World Cup 2026/27 | post_0_to_105m  F=5s | all,≥4,per print,0.17031963382243165
