cell,pm_action,kalshi_action,mean_gap_c,lower_tail_pct,upper_tail_pct,prints
Premier League 2025/26 | post_0_to_105m  F=60s,buy,buy,-0.2950077097056602,10.254504349151016,3.799291493495062,971339.0
Premier League 2025/26 | post_0_to_105m  F=60s,buy,sell,1.2133425283353725,4.413523992763533,21.786902715477524,443863.0
Premier League 2025/26 | post_0_to_105m  F=60s,buy,all,0.07544139511837324,8.305994259240428,7.73245348789499,1121106.0
Premier League 2025/26 | post_0_to_105m  F=60s,sell,buy,-1.4902169622039443,36.20068080110481,1.6482122247181552,855169.0
Premier League 2025/26 | post_0_to_105m  F=60s,sell,sell,0.015285854314117229,11.807444324576199,9.999037677459874,394878.0
Premier League 2025/26 | post_0_to_105m  F=60s,sell,all,-1.1271150050262329,29.887682523408653,3.307248071639687,998776.0
Premier League 2025/26 | post_0_to_105m  F=60s,all,buy,-0.8050998173173923,19.347026140497793,2.4184217018600305,1151164.0
Premier League 2025/26 | post_0_to_105m  F=60s,all,sell,0.6710373046550129,6.557443399806063,15.17095998988153,592975.0
Premier League 2025/26 | post_0_to_105m  F=60s,all,all,-0.43760806631735544,15.665669884877067,5.132710945031904,1304866.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,buy,buy,-0.18744982808047456,8.843691229883571,4.806946896937852,557256.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,buy,sell,1.3055932283154883,3.6964836062530164,22.902602948275224,269310.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,buy,all,0.18105726803724462,7.192569983593761,8.992737941102693,641829.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,sell,buy,-1.4974601628069715,35.04048205619579,1.8139248651433357,498863.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,sell,sell,-0.026240790264707537,11.010483246075445,10.000286987573439,243913.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,sell,all,-1.1370488729467867,28.325186563321687,3.5326889146717377,582644.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,buy,-0.7361209487779942,17.838613791865935,3.2637680707147148,640885.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,sell,0.7117653832888328,6.0572021331163155,15.905528507936143,348973.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,all,all,-0.36998346830272205,14.363441051500825,6.194193755858587,730765.0
World Cup 2026/27 | post_0_to_105m  F=5s,buy,buy,-0.15024742248992562,3.302442910053574,0.9387460107354864,1354573.0
World Cup 2026/27 | post_0_to_105m  F=5s,buy,sell,0.8156346269430179,0.8007218619439032,7.211495801427977,800153.0
World Cup 2026/27 | post_0_to_105m  F=5s,buy,all,0.03130707892388471,2.1343368300351293,1.6705246196496817,1398842.0
World Cup 2026/27 | post_0_to_105m  F=5s,sell,buy,-0.9129195034347957,18.477636786109258,0.4542196669890679,1038044.0
World Cup 2026/27 | post_0_to_105m  F=5s,sell,sell,0.07211189944705136,3.233253516957017,2.901460777741815,651913.0
World Cup 2026/27 | post_0_to_105m  F=5s,sell,all,-0.6839448894704621,10.64184168414311,0.6208699541088119,1086701.0
World Cup 2026/27 | post_0_to_105m  F=5s,all,buy,-0.4022281596775929,5.715647741630081,0.5429822017314891,1499865.0
World Cup 2026/27 | post_0_to_105m  F=5s,all,sell,0.5362192214295913,1.0048446502529305,4.386384327698344,916062.0
World Cup 2026/27 | post_0_to_105m  F=5s,all,all,-0.21389847796794798,3.620047694641136,0.9505494399512381,1555311.0
World Cup 2026/27 | pre_last_hour  F=10s,buy,buy,-0.2449136606677054,2.486165853237278,0.05640256861075616,741101.0
World Cup 2026/27 | pre_last_hour  F=10s,buy,sell,0.6539348205715092,0.10888254972385218,2.284562819319016,202971.0
World Cup 2026/27 | pre_last_hour  F=10s,buy,all,-0.20817929324752313,2.072634533918149,0.12136084714420665,747358.0
World Cup 2026/27 | pre_last_hour  F=10s,sell,buy,-1.1199754203878793,25.197754822307814,0.0,391773.0
World Cup 2026/27 | pre_last_hour  F=10s,sell,sell,-0.18655505685824186,3.24704167283578,0.37128571916677106,87803.0
World Cup 2026/27 | pre_last_hour  F=10s,sell,all,-1.0811410571960856,21.43993685952002,0.010371633329876123,395309.0
World Cup 2026/27 | pre_last_hour  F=10s,all,buy,-0.40110404719710674,4.744449700188824,0.034041923840439,784327.0
World Cup 2026/27 | pre_last_hour  F=10s,all,sell,0.501483582783483,0.33525606014182885,1.6438648140994045,225201.0
World Cup 2026/27 | pre_last_hour  F=10s,all,all,-0.3639371142999981,4.076799854350336,0.08041075228304584,790939.0
