cell,route,direction,n,n_lot,pos_0c,pos_0c_lot,pos_1c,fresh_time,open_time_0c,edge_sum,fixtures,pos_pct,open_pct_of_fresh,mean_net_c,outcome_sel,panel
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,443863.0,56262.0,309494.0,37140.0,146335.0,3180127.0,2342344.0,4078.094971716101,339,69.72737083289213,73.65567475764333,0.9187733538763315,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,855169.0,82542.0,685506.0,63231.0,337304.0,3753924.0,3049157.0,10041.462823052829,339,80.16029580118082,81.22585859489963,1.1742080013486023,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,971339.0,107663.0,107061.0,14788.0,31636.0,4401166.0,527127.0,-15165.037450118536,339,11.022001587499318,11.976985189833785,-1.5612507528389712,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,394878.0,47817.0,77779.0,10245.0,29612.0,2880483.0,515350.0,-4490.377514585642,339,19.696969696969695,17.89109673620709,-1.1371556568321461,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,394878.0,47817.0,81873.0,11705.0,31164.0,2880483.0,513702.0,-4239.660823814357,339,20.733745612568946,17.833884109019216,-1.0736634666439653,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,971339.0,107663.0,170465.0,24289.0,60365.0,4401166.0,765536.0,-9025.891581281456,339,17.54948581288304,17.39393606148916,-0.9292215777685706,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,855169.0,82542.0,14551.0,2808.0,7970.0,3753924.0,52108.0,-30968.094071952863,339,1.701535018224468,1.3880941649324814,-3.6212835207956395,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,443863.0,56262.0,16148.0,3117.0,8814.0,3180127.0,67499.0,-14299.302480016095,339,3.638059491329532,2.122525295373424,-3.2215576608133802,all,Premier League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,K YES + PM NO,269310.0,39445.0,198123.0,27489.0,94968.0,1611526.0,1235596.0,2750.411664927998,189,73.56689317143812,76.67242104688351,1.02128092715755,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,PM YES + K NO,498863.0,61297.0,399954.0,48286.0,193249.0,1791776.0,1452183.0,5957.7056373241985,189,80.1731136604639,81.04712865893951,1.1942568675817204,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,K YES + PM NO,557256.0,78687.0,68757.0,11102.0,23977.0,2122730.0,338596.0,-7802.651938507228,189,12.338494336534735,15.95096879961182,-1.4001916423523888,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,PM YES + K NO,243913.0,34709.0,49471.0,7914.0,19363.0,1475257.0,300497.0,-2557.5041217932803,189,20.282231779363954,20.369128904319723,-1.0485312885304516,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,K YES + PM NO,243913.0,34709.0,50846.0,7841.0,18932.0,1475257.0,287962.0,-2605.773262506719,189,20.845957370045877,19.51944644221312,-1.0683207793380096,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,PM YES + K NO,557256.0,78687.0,98798.0,18466.0,33046.0,2122730.0,407398.0,-5480.334662092767,189,17.729373932268114,19.192172344104055,-0.9834500951255378,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,K YES + PM NO,498863.0,61297.0,9581.0,1800.0,5376.0,1791776.0,38094.0,-17648.359467724218,189,1.9205673701998345,2.1260470058757344,-3.537716661232486,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,PM YES + K NO,269310.0,39445.0,9492.0,1939.0,5519.0,1611526.0,39715.0,-8735.271651127994,189,3.5245627715272363,2.464434331186714,-3.243574932653074,all,UEFA Champions League 2025/26 | post_0_to_105m  F=60s | all
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,K YES + PM NO,800153.0,197550.0,578858.0,135192.0,148976.0,1061051.0,775188.0,4226.871092831732,104,72.34341432201091,73.05850519909033,0.5282578572887601,all,World Cup 2026/27 | post_0_to_105m  F=5s | all
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,PM YES + K NO,1038044.0,313065.0,799005.0,234716.0,227984.0,1073925.0,825844.0,6517.716795063163,104,76.97217073650057,76.8995972716903,0.6278844437290869,all,World Cup 2026/27 | post_0_to_105m  F=5s | all
