cell,route,scenario,n,positive,positive_1c,positive_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,no_fees,76368.0,21709.0,7658.0,28.42682799078148
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_K_maker_free,76368.0,11181.0,4123.0,14.640949088623508
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_K_maker_charged,76368.0,11181.0,4123.0,14.640949088623508
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_plus_PM_maker_rebate,76368.0,12007.0,4451.0,15.722553949298135
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_plus_PM_taker_rebate_3pct,76368.0,11181.0,4123.0,14.640949088623508
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_plus_PM_taker_rebate_50pct,76368.0,11181.0,4123.0,14.640949088623508
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,fees_PM_fee_free,76368.0,11181.0,4123.0,14.640949088623508
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,no_fees,76368.0,40843.0,17380.0,53.48182484810392
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_K_maker_free,76368.0,22045.0,9020.0,28.86680284936099
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_K_maker_charged,76368.0,18718.0,7752.0,24.51026608003352
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_plus_PM_maker_rebate,76368.0,18718.0,7752.0,24.51026608003352
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_plus_PM_taker_rebate_3pct,76368.0,18904.0,7865.0,24.753823591032894
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_plus_PM_taker_rebate_50pct,76368.0,25321.0,10187.0,33.15655772051121
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,fees_PM_fee_free,76368.0,31214.0,12461.0,40.87314058244291
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,no_fees,62645.0,44562.0,23109.0,71.13416872854977
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_K_maker_free,62645.0,44533.0,23085.0,71.08787612738446
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_K_maker_charged,62645.0,43636.0,21933.0,69.6559980844441
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,fees_plus_PM_maker_rebate,62645.0,43944.0,22329.0,70.14765743475138
