cell,route,freshness,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,1,223970,165384,73.84203241505558
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,2,320856,238704,74.39599072481113
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,3,408235,304721,74.64352640023516
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,4,476319,356499,74.84458944530871
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,5,539482,404922,75.05755521036846
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,6,591953,445003,75.17539399242845
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,7,640572,482051,75.2532111924967
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,8,681513,513542,75.35322143524775
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,9,720488,543590,75.44747448951266
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,10,754366,569710,75.5216963648945
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,11,786982,594979,75.60261861135325
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,12,815416,617118,75.68137000009811
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,13,843203,638669,75.74320774475423
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,14,867534,657574,75.7980667040139
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,15,891447,676155,75.84915311846919
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,16,912509,692631,75.9040184809136
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,17,933138,708693,75.94728753946362
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,18,951562,723100,75.99084452720895
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,19,969896,737391,76.02784216039657
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,20,986411,750232,76.0567349715281
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,21,1002585,762916,76.09489469720772
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,22,1017341,774436,76.12354166400449
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,23,1031742,785693,76.15208065582287
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,24,1045147,796208,76.18143667828545
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,25,1058372,806563,76.20789287698466
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,26,1070501,816016,76.22748600888742
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,27,1082433,825336,76.2482296825762
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,28,1093455,833958,76.26815918350549
