cell,route,trigger,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,k,283295.0,215322.0,76.00628320302158
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,pm,170979.0,126863.0,74.1980009240901
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,both,85208.0,62737.0,73.62806309266736
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,k,326151.0,39974.0,12.256286198723904
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,pm,189830.0,22869.0,12.047094769003845
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,both,98895.0,11927.0,12.06026593862177
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,k,326151.0,61752.0,18.93356144853151
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,pm,189830.0,41075.0,21.63778117262814
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,both,98895.0,20865.0,21.098134384953738
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,k,283295.0,8088.0,2.8549744965495334
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,pm,170979.0,4966.0,2.9044502541247756
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,both,85208.0,3376.0,3.962069289268613
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,k,202391.0,156314.0,77.23367145772292
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,pm,98017.0,72983.0,74.45953253007131
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,both,68394.0,51272.0,74.9656402608416
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,k,231360.0,29096.0,12.576071922544951
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,pm,106150.0,15159.0,14.280734809232218
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,both,80017.0,9406.0,11.755002062061813
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,k,231360.0,41545.0,17.95686376210235
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,pm,106150.0,21735.0,20.475741874705605
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,both,80017.0,15881.0,19.847032505592562
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,k,202391.0,5528.0,2.731346749608431
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,pm,98017.0,2962.0,3.0219247681524632
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,both,68394.0,2225.0,3.253209345849051
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,k,1022510.0,785677.0,76.83807493325249
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,pm,262608.0,187868.0,71.53932858100286
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,both,553079.0,404318.0,73.10311908425379
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,k,1128306.0,81666.0,7.237930135973752
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,pm,209502.0,12981.0,6.196122232723315
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,both,668678.0,45259.0,6.76842964775273
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,k,1128306.0,189620.0,16.805724688160836
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,pm,209502.0,39647.0,18.92440167635631
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,both,668678.0,114584.0,17.13590098672306
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,k,1022510.0,6615.0,0.6469374382646624
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,pm,262608.0,1235.0,0.4702827027356364
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,both,553079.0,5993.0,1.0835703398610326
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,k,246183.0,202341.0,82.19129671829492
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,pm,94105.0,59110.0,62.81281547207906
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,both,86732.0,65983.0,76.07688050546511
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,k,419291.0,9981.0,2.380446992661421
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,pm,69707.0,2854.0,4.094280344872107
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,both,207047.0,3094.0,1.4943466942288466
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,k,419291.0,45747.0,10.91056092308206
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,pm,69707.0,5083.0,7.29195059319724
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,both,207047.0,22197.0,10.720754224886138
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,k,246183.0,172.0,0.0698667251597389
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,pm,94105.0,35.0,0.037192497741884066
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,both,86732.0,49.0,0.056495872342388044
