cell,direction,price_bucket,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,<10c,53128.0,44027.0,82.86967324198163
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,>=90c,31777.0,23999.0,75.52317714069925
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,70-90c,61573.0,35298.0,57.327075179055754
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10-30c,125637.0,98798.0,78.63766247204248
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30-70c,171748.0,107372.0,62.517176328108626
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,<10c,91522.0,73849.0,80.68988876991324
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,>=90c,29400.0,23818.0,81.01360544217687
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,70-90c,91617.0,79586.0,86.86815765633015
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,10-30c,266233.0,197528.0,74.19365743540433
Premier League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,30-70c,376397.0,310725.0,82.55246455205541
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,<10c,36981.0,30627.0,82.8182039425651
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,>=90c,23013.0,17155.0,74.54482249163516
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,70-90c,33823.0,22007.0,65.06519232474943
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,10-30c,80273.0,61758.0,76.93495945087389
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,30-70c,95220.0,66576.0,69.91808443604285
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,<10c,69242.0,58911.0,85.0798648219289
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,>=90c,19911.0,16268.0,81.70358093516147
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,70-90c,52793.0,43369.0,82.1491485613623
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,10-30c,161750.0,127788.0,79.00340030911902
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,PM YES + K NO,30-70c,195167.0,153618.0,78.71105258573427
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,<10c,119682.0,99827.0,83.41020370648886
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,>=90c,55079.0,45592.0,82.77564952159625
World Cup 2026/27 | post_0_to_105m  F=5s,K YES + PM NO,70-90c,84385.0,54801.0,64.94163654677963
