cell,route,n,n_lot,pos_0c,pos_0c_lot,pos_1c,fresh_time,open_time_0c,edge_sum,fixtures,pos_pct,open_pct_of_fresh,mean_net_c,combo,phase,fixture_hours,pos_per_fixture_hour,open_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,1366217.0,155480.0,184840.0,25033.0,61248.0,7281649.0,1042477.0,-19655.414964704178,339,13.529329528178906,14.316496167282988,-1.4386744539633294,Premier League 2025/26,post_0_to_105m,593.25,311.5718499789296,8.135326434736465
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,1366217.0,155480.0,252338.0,35994.0,91529.0,7281649.0,1279238.0,-13265.552405095812,339,18.469833123142223,17.56797121091665,-0.9709696486792224,Premier League 2025/26,post_0_to_105m,593.25,425.34850400337126,9.982972015420392
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,1299032.0,138804.0,30699.0,5925.0,16784.0,6934051.0,119607.0,-45267.39655196896,339,2.363221229346159,1.7249224154826666,-3.4847021899359647,Premier League 2025/26,post_0_to_105m,593.25,51.74715549936789,0.9333942033057078
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,801169.0,113396.0,118228.0,19016.0,43340.0,3597987.0,639093.0,-10360.156060300507,189,14.756936426646563,17.762515539939415,-1.2931299214398595,UEFA Champions League 2025/26,post_0_to_105m,330.75,357.45427059712773,8.945620223398
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,801169.0,113396.0,149644.0,26307.0,51978.0,3597987.0,695360.0,-8086.107924599486,189,18.678206470794553,19.326362213093045,-1.0092886675095374,UEFA Champions League 2025/26,post_0_to_105m,330.75,452.4383975812547,9.73321015649058
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,768173.0,100742.0,19073.0,3739.0,10895.0,3403302.0,77809.0,-26383.631118852212,189,2.482904241622655,2.286279619028814,-3.4345949569761256,UEFA Champions League 2025/26,post_0_to_105m,330.75,57.665910808767954,1.0891212452059014
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,2006486.0,606910.0,139906.0,47646.0,15381.0,2285019.0,156128.0,-25228.500705853185,104,6.97268757419688,6.832678415365474,-1.2573474574880255,World Cup 2026/27,post_0_to_105m,182.0,768.7142857142857,3.9715099715099713
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,2006486.0,606910.0,343851.0,136875.0,28249.0,2285019.0,398955.0,-19417.622779446814,104,17.136974790753587,17.459592239714418,-0.9677427492365666,World Cup 2026/27,post_0_to_105m,182.0,1889.2912087912089,10.148427960927961
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,1838197.0,510615.0,13843.0,8379.0,4988.0,2134976.0,14944.0,-51541.472840995084,104,0.753074888056068,0.6999610300068947,-2.8039145336976983,World Cup 2026/27,post_0_to_105m,182.0,76.06043956043956,0.38013838013838014
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,828904.0,203822.0,21707.0,3775.0,124.0,1154779.0,40457.0,-12148.096458151804,104,2.618759229054269,3.5034409181323873,-1.4655613265410474,World Cup 2026/27,pre_last_hour,104.0,208.72115384615384,1.8009704415954415
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,828904.0,203822.0,87492.0,30438.0,2246.0,1154779.0,108154.0,-8463.38252434819,104,10.555142694449538,9.365774749973804,-1.0210328969757885,World Cup 2026/27,pre_last_hour,104.0,841.2692307692307,4.814547720797721
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,594744.0,118902.0,346.0,145.0,0.0,914221.0,441.0,-18949.545935059028,104,0.05817629097561304,0.048237789331026085,-3.1861684918316167,World Cup 2026/27,pre_last_hour,104.0,3.326923076923077,0.019631410256410256
