combo,fixtures,both_traded,complete_1x2,trades,pm_trades,k_trades,first_kickoff,last_kickoff,trades_per_fixture,pm_trades_per_fixture,k_trades_per_fixture
World Cup 2026/27,104,104,104,29220673,5343638,23877035,2026-06-11 19:00:00+00:00,2026-07-19 19:00:00+00:00,280968,51381,229587
UEFA Champions League 2025/26,189,189,189,3702166,1279303,2422863,2025-09-16 16:45:00+00:00,2026-05-30 16:00:00+00:00,19588,6769,12819
Premier League 2025/26,339,339,339,5223092,1935389,3287703,2025-09-20 11:30:00+00:00,2026-05-24 15:00:00+00:00,15407,5709,9698
La Liga 2025/26,336,336,336,3356317,1334990,2021327,2025-09-19 19:00:00+00:00,2026-05-24 19:00:00+00:00,9989,3973,6016
Serie A 2025/26,348,348,348,2159847,888826,1271021,2025-09-19 18:45:00+00:00,2026-05-24 18:45:00+00:00,6206,2554,3652
UEFA Champions League 2026/27,73,73,73,437983,136926,301057,2026-07-07 16:00:00+00:00,2026-08-11 19:00:00+00:00,6000,1876,4124
Bundesliga 2025/26,275,275,275,1525955,692814,833141,2025-09-19 18:30:00+00:00,2026-05-25 18:30:00+00:00,5549,2519,3030
Ligue 1 2025/26,278,278,278,1173568,512157,661411,2025-09-12 18:45:00+00:00,2026-05-29 18:45:00+00:00,4221,1842,2379
UEFA Champions League Women 2026/27,27,27,27,27141,4563,22578,2026-08-04 14:00:00+00:00,2026-08-08 19:00:00+00:00,1005,169,836
UEFA Champions League Women 2025/26,4,0,4,3156,3156,0,2026-03-25 17:45:00+00:00,2026-05-03 14:30:00+00:00,789,789,0
