combo,phase,source,all,fresh,no_prior_print,stale
Bundesliga 2025/26,post_0_to_105m,KALSHI,86.2,91.2,,54.9
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,91.1,94.2,,59.0
Bundesliga 2025/26,post_105_to_135m,KALSHI,92.3,95.6,,51.1
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,79.2,93.8,,14.6
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,34.4,62.7,10.1,23.8
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,21.6,45.2,1.9,13.1
Bundesliga 2025/26,pre_last_hour,KALSHI,71.1,84.0,,41.6
Bundesliga 2025/26,pre_last_hour,POLYMARKET,60.0,77.1,,34.2
La Liga 2025/26,post_0_to_105m,KALSHI,91.3,94.4,,59.8
La Liga 2025/26,post_0_to_105m,POLYMARKET,96.5,97.6,,64.1
La Liga 2025/26,post_105_to_135m,KALSHI,96.8,97.8,,62.4
La Liga 2025/26,post_105_to_135m,POLYMARKET,82.2,95.2,,10.3
La Liga 2025/26,pre_24h_to_1h,KALSHI,49.6,73.1,10.2,30.3
La Liga 2025/26,pre_24h_to_1h,POLYMARKET,41.8,64.3,2.1,21.5
La Liga 2025/26,pre_last_hour,KALSHI,83.4,90.3,,50.1
La Liga 2025/26,pre_last_hour,POLYMARKET,81.0,88.9,0.0,45.4
Ligue 1 2025/26,post_0_to_105m,KALSHI,82.2,89.8,,48.0
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,89.4,93.1,,55.8
Ligue 1 2025/26,post_105_to_135m,KALSHI,91.7,95.0,,54.7
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,76.9,93.0,,13.9
Ligue 1 2025/26,pre_24h_to_1h,KALSHI,37.8,65.6,5.7,26.8
Ligue 1 2025/26,pre_24h_to_1h,POLYMARKET,21.2,46.6,1.4,11.7
Ligue 1 2025/26,pre_last_hour,KALSHI,70.2,83.8,0.0,40.0
Ligue 1 2025/26,pre_last_hour,POLYMARKET,59.7,76.4,0.0,34.3
Premier League 2025/26,post_0_to_105m,KALSHI,93.6,95.7,,61.8
Premier League 2025/26,post_0_to_105m,POLYMARKET,98.8,99.1,,70.1
Premier League 2025/26,post_105_to_135m,KALSHI,97.7,98.3,,68.3
Premier League 2025/26,post_105_to_135m,POLYMARKET,83.0,95.9,,8.5
Premier League 2025/26,pre_24h_to_1h,KALSHI,49.9,71.9,11.6,31.1
Premier League 2025/26,pre_24h_to_1h,POLYMARKET,53.2,68.6,6.9,30.2
Premier League 2025/26,pre_last_hour,KALSHI,86.9,91.7,,56.1
Premier League 2025/26,pre_last_hour,POLYMARKET,91.5,94.2,,60.1
