combo,phase,source,triggers,eligible,followed,same_second_pct,censored_pct
Bundesliga 2025/26,post_0_to_105m,KALSHI,318238,310723,267698,10.1,2.4
Bundesliga 2025/26,post_0_to_105m,POLYMARKET,220468,216331,197165,14.6,1.9
Bundesliga 2025/26,post_105_to_135m,KALSHI,84129,84092,77623,15.5,0.0
Bundesliga 2025/26,post_105_to_135m,POLYMARKET,53361,52999,41992,24.4,0.7
Bundesliga 2025/26,pre_24h_to_1h,KALSHI,80776,80460,27712,0.9,0.4
Bundesliga 2025/26,pre_24h_to_1h,POLYMARKET,130302,129736,28070,0.6,0.4
Bundesliga 2025/26,pre_last_hour,KALSHI,34425,33073,23529,5.7,3.9
Bundesliga 2025/26,pre_last_hour,POLYMARKET,50769,48522,29129,3.9,4.4
La Liga 2025/26,post_0_to_105m,KALSHI,687143,670692,612419,12.5,2.4
La Liga 2025/26,post_0_to_105m,POLYMARKET,360777,353262,340833,23.8,2.1
La Liga 2025/26,post_105_to_135m,KALSHI,161380,161287,156051,18.5,0.1
La Liga 2025/26,post_105_to_135m,POLYMARKET,92701,92021,75657,32.2,0.7
La Liga 2025/26,pre_24h_to_1h,KALSHI,267286,266221,132077,2.1,0.4
La Liga 2025/26,pre_24h_to_1h,POLYMARKET,273592,272608,113848,2.0,0.4
La Liga 2025/26,pre_last_hour,KALSHI,120255,116376,97060,9.4,3.2
La Liga 2025/26,pre_last_hour,POLYMARKET,94607,91102,73752,12.0,3.7
Ligue 1 2025/26,post_0_to_105m,KALSHI,266578,260270,213901,8.4,2.4
Ligue 1 2025/26,post_0_to_105m,POLYMARKET,171324,168022,150276,13.1,1.9
Ligue 1 2025/26,post_105_to_135m,KALSHI,61632,61609,56468,12.5,0.0
Ligue 1 2025/26,post_105_to_135m,POLYMARKET,38709,38413,29522,19.9,0.8
Ligue 1 2025/26,pre_24h_to_1h,KALSHI,58662,58397,22079,1.3,0.5
Ligue 1 2025/26,pre_24h_to_1h,POLYMARKET,95676,95331,20216,0.8,0.4
Ligue 1 2025/26,pre_last_hour,KALSHI,30625,29523,20717,6.2,3.6
Ligue 1 2025/26,pre_last_hour,POLYMARKET,47089,45146,26944,4.0,4.1
Premier League 2025/26,post_0_to_105m,KALSHI,1037870,1014850,949407,13.7,2.2
Premier League 2025/26,post_0_to_105m,POLYMARKET,481261,471414,465850,29.6,2.0
Premier League 2025/26,post_105_to_135m,KALSHI,214945,214879,210042,20.4,0.0
Premier League 2025/26,post_105_to_135m,POLYMARKET,118856,117870,97870,36.8,0.8
Premier League 2025/26,pre_24h_to_1h,KALSHI,527088,525412,261985,2.0,0.3
Premier League 2025/26,pre_24h_to_1h,POLYMARKET,423240,421902,224325,2.5,0.3
