cell,outcome,prints,mean_gap_c,mean_abs_gap_c,le_m2c_pct,ge_p2c_pct
Premier League 2025/26 | post_0_to_105m  F=60s,home,508574,-0.46,1.27,15.59,4.87
Premier League 2025/26 | post_0_to_105m  F=60s,draw,284283,-0.2,1.31,13.37,7.06
Premier League 2025/26 | post_0_to_105m  F=60s,away,512009,-0.55,1.27,17.02,4.33
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,home,274797,-0.56,1.49,14.62,5.96
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,151959,0.01,1.3,10.72,8.77
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,away,304009,-0.39,1.44,15.95,5.12
World Cup 2026/27 | post_0_to_105m  F=5s,home,540539,-0.34,0.77,5.35,0.83
World Cup 2026/27 | post_0_to_105m  F=5s,draw,498251,0.02,0.62,1.4,1.4
World Cup 2026/27 | post_0_to_105m  F=5s,away,516521,-0.31,0.68,3.95,0.64
World Cup 2026/27 | pre_last_hour  F=10s,home,308512,-0.5,0.64,5.6,0.02
World Cup 2026/27 | pre_last_hour  F=10s,draw,208414,-0.11,0.46,2.44,0.21
World Cup 2026/27 | pre_last_hour  F=10s,away,274013,-0.41,0.57,3.61,0.05
