cell,route,no_fees,fees_K_maker_free,fees_K_maker_charged,fees_plus_PM_maker_rebate,fees_plus_PM_taker_rebate_3pct,fees_plus_PM_taker_rebate_50pct,fees_PM_fee_free
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,28.4,14.6,14.6,15.7,14.6,14.6,14.6
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,53.5,28.9,24.5,24.5,24.8,33.2,40.9
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,71.1,71.1,69.7,70.1,69.7,69.7,69.7
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,16.4,5.7,5.7,5.7,5.7,6.7,8.5
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,28.9,14.7,14.7,15.8,14.7,14.7,14.7
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,53.7,28.8,23.5,23.5,24.1,32.2,39.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,74.5,74.5,73.0,73.4,73.0,73.0,73.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,13.9,4.2,4.2,4.2,4.2,4.9,6.2
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,21.4,7.9,7.9,8.8,7.9,7.9,7.9
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,59.3,28.0,22.6,22.6,22.8,32.5,41.5
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,75.3,75.2,72.4,73.6,72.4,72.4,72.4
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,13.2,1.6,1.6,1.6,1.7,2.3,3.3
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,8.5,1.6,1.6,1.9,1.6,1.6,1.6
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,72.6,19.6,14.5,14.5,14.6,26.6,44.2
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,81.6,81.5,80.2,81.1,80.2,80.2,80.2
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,7.3,0.1,0.1,0.1,0.1,0.2,0.4
