cell,route,trigger,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,k,283295.0,215322.0,76.01
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,pm,170979.0,126863.0,74.2
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,both,85208.0,62737.0,73.63
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,k,326151.0,39974.0,12.26
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,pm,189830.0,22869.0,12.05
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,both,98895.0,11927.0,12.06
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,k,326151.0,61752.0,18.93
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,pm,189830.0,41075.0,21.64
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,both,98895.0,20865.0,21.1
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,k,283295.0,8088.0,2.85
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,pm,170979.0,4966.0,2.9
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,both,85208.0,3376.0,3.96
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,k,202391.0,156314.0,77.23
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,pm,98017.0,72983.0,74.46
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,both,68394.0,51272.0,74.97
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,k,231360.0,29096.0,12.58
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,pm,106150.0,15159.0,14.28
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,both,80017.0,9406.0,11.76
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,k,231360.0,41545.0,17.96
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,pm,106150.0,21735.0,20.48
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,both,80017.0,15881.0,19.85
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,k,202391.0,5528.0,2.73
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,pm,98017.0,2962.0,3.02
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,both,68394.0,2225.0,3.25
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,k,1022510.0,785677.0,76.84
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,pm,262608.0,187868.0,71.54
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,both,553079.0,404318.0,73.1
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,k,1128306.0,81666.0,7.24
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,pm,209502.0,12981.0,6.2
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,both,668678.0,45259.0,6.77
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,k,1128306.0,189620.0,16.81
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,pm,209502.0,39647.0,18.92
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,both,668678.0,114584.0,17.14
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,k,1022510.0,6615.0,0.65
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,pm,262608.0,1235.0,0.47
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,both,553079.0,5993.0,1.08
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,k,246183.0,202341.0,82.19
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,pm,94105.0,59110.0,62.81
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,both,86732.0,65983.0,76.08
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,k,419291.0,9981.0,2.38
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,pm,69707.0,2854.0,4.09
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,both,207047.0,3094.0,1.49
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,k,419291.0,45747.0,10.91
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,pm,69707.0,5083.0,7.29
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,both,207047.0,22197.0,10.72
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,k,246183.0,172.0,0.07
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,pm,94105.0,35.0,0.04
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,both,86732.0,49.0,0.06
