cell,route,price_bucket,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,<10c,52940.0,42335.0,79.97
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,>=90c,26969.0,20056.0,74.37
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,70-90c,72509.0,52789.0,72.8
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,10-30c,151731.0,112912.0,74.42
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,30-70c,235333.0,176830.0,75.14
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,<10c,49642.0,12713.0,25.61
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,>=90c,30624.0,5752.0,18.78
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,70-90c,84846.0,10611.0,12.51
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,10-30c,168213.0,25779.0,15.33
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,30-70c,281551.0,19915.0,7.07
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,<10c,50967.0,18960.0,37.2
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,>=90c,29840.0,10898.0,36.52
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,70-90c,81257.0,19752.0,24.31
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,10-30c,172383.0,32498.0,18.85
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,30-70c,280429.0,41584.0,14.83
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,<10c,45710.0,3013.0,6.59
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,>=90c,28901.0,1596.0,5.52
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,70-90c,76443.0,2277.0,2.98
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,10-30c,150167.0,4326.0,2.88
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,30-70c,238261.0,5218.0,2.19
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,<10c,45735.0,37924.0,82.92
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,>=90c,19973.0,15151.0,75.86
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,70-90c,43757.0,32261.0,73.73
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,10-30c,115419.0,88736.0,76.88
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/maker,30-70c,143918.0,106497.0,74.0
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,<10c,44319.0,10518.0,23.73
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,>=90c,23797.0,5012.0,21.06
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,70-90c,49449.0,7603.0,15.38
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,10-30c,131171.0,17123.0,13.05
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,30-70c,168791.0,13405.0,7.94
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,<10c,45602.0,16714.0,36.65
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,>=90c,23800.0,8681.0,36.47
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,70-90c,47785.0,9003.0,18.84
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,10-30c,133002.0,24203.0,18.2
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,30-70c,167338.0,20560.0,12.29
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,<10c,40487.0,2034.0,5.02
