cell,route,fixtures,with_any,with_5_plus,with_20_plus,median,p90,top10_share_pct
Premier League 2025/26 | post_0_to_105m  F=60s,taker/taker,339,337,334,313,76.0,174.2,10.8
Premier League 2025/26 | post_0_to_105m  F=60s,taker/maker,339,339,339,339,643.0,1370.6,9.5
Premier League 2025/26 | post_0_to_105m  F=60s,maker/taker,339,339,339,339,466.0,1051.2,8.6
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/taker,189,187,183,178,76.0,206.2,19.9
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,taker/maker,189,189,189,189,522.0,1754.8,19.1
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,maker/taker,189,189,189,189,483.0,1249.4,15.4
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,104,104,101,98,104.0,261.7,31.5
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,104,104,104,104,2888.0,6325.3,22.6
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,104,104,104,104,1142.0,2566.4,21.7
World Cup 2026/27 | pre_last_hour  F=10s,taker/taker,104,2,2,1,0.0,0.0,100.0
World Cup 2026/27 | pre_last_hour  F=10s,taker/maker,104,74,71,67,303.5,2667.3,39.0
World Cup 2026/27 | pre_last_hour  F=10s,maker/taker,104,67,66,59,53.5,574.9,52.6
